species,haplotype_div,nucleotide_div,tajima_d,photo
Adelie,0.977,0.008,-1.842,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Adeliepinguin-01.jpg/320px-Adeliepinguin-01.jpg
Chinstrap,0.971,0.096,-0.842,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Chinstrap_Penguin.jpg/320px-Chinstrap_Penguin.jpg
Gentoo,0.966,0.011,-0.059,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Gentoo_Penguin_at_Cooper_Bay%2C_South_Georgia.jpg/342px-Gentoo_Penguin_at_Cooper_Bay%2C_South_Georgia.jpg
